group,subcat,name,type,unit,articul
Снеки,Спортивне печиво,"OSHEE 0,75",Снеки,шт.,
Снеки,Спортивне печиво,"Oshee Zero 0,555 л",Снеки,шт.,
Снеки,Спортивне печиво,"Вода спортивна Värska Naturaal н/г 0,75",Снеки,шт.,
Снеки,Спортивне печиво,"Мінеральна вода ""Аква Миргород Детокс"" с/г 0,33л",Снеки,шт.,
Снеки,Спортивне печиво,"Мінеральна вода ""Аква Миргород Детокс"" с/г 0,5л",Снеки,шт.,
Снеки,Спортивне печиво,"Питна вода  ""AQUA Миргород COLLAGEN  0,33 л",Снеки,шт.,
Снеки,Спортивне печиво,"Питна вода  ""AQUA Миргород NATURAL ENERGY  0,33 л",Снеки,шт.,
Снеки,Спортивне печиво,"Питна вода ""Аква Миргород з вітаміном D3"" 4000 МО 0,33 л н/г",Снеки,шт.,
Снеки,Спортивне печиво,Спортивна вода Absolute Lifestyle  AMINO MIX 600 мл,Снеки,шт.,
Снеки,Спортивне печиво,Передтренувальний комплекс Ulta PUMP - 100 мл,Снеки,шт.,
Снеки,Спортивне печиво,Шот BCAA Shot 1serving (60 мл),Снеки,шт.,
Снеки,Спортивне печиво,Шот L-carnit.shot 60 ml,Снеки,шт.,
Хозяйственные товары,,"Вода бутилированная 18,9 л",Кавомат,шт.,
Хозяйственные товары,,Мешки для мусора 60л.,Кавомат,шт.,
